"timestamp","players"
"2026-01-18T21:45:02Z",254298
"2026-01-18T21:50:02Z",253644
"2026-01-18T21:55:03Z",252951
"2026-01-18T22:00:03Z",252094
"2026-01-18T22:05:02Z",251067
"2026-01-18T22:10:02Z",250164
"2026-01-18T22:15:02Z",248920
"2026-01-18T22:20:02Z",248089
"2026-01-18T22:25:03Z",246928
"2026-01-18T22:30:03Z",245226
"2026-01-18T22:35:03Z",243989
"2026-01-18T22:40:03Z",242471
"2026-01-18T22:45:03Z",241702
"2026-01-18T22:50:03Z",240910
"2026-01-18T22:55:03Z",240073
"2026-01-18T23:00:02Z",239275
"2026-01-18T23:05:02Z",238206
"2026-01-18T23:10:02Z",237188
"2026-01-18T23:15:02Z",235961
"2026-01-18T23:20:02Z",234396
"2026-01-18T23:25:02Z",233633
"2026-01-18T23:30:02Z",233232
"2026-01-18T23:35:02Z",231279
"2026-01-18T23:40:03Z",230484
"2026-01-18T23:45:03Z",229838
"2026-01-18T23:50:03Z",230006
"2026-01-18T23:55:02Z",229624
"2026-01-19T00:00:03Z",229209
"2026-01-19T00:05:02Z",229103
"2026-01-19T00:10:03Z",227891
"2026-01-19T00:15:02Z",228019
"2026-01-19T00:20:02Z",227961
"2026-01-19T00:25:02Z",227763
"2026-01-19T00:30:03Z",227242
"2026-01-19T00:35:04Z",227065
"2026-01-19T00:40:03Z",227430
"2026-01-19T00:45:02Z",227386
"2026-01-19T00:50:02Z",227702
"2026-01-19T00:55:02Z",227704
"2026-01-19T01:00:03Z",227620
"2026-01-19T01:05:02Z",227117
"2026-01-19T01:10:02Z",227468
"2026-01-19T01:15:02Z",227841
"2026-01-19T01:20:03Z",227509
"2026-01-19T01:25:02Z",228074
"2026-01-19T01:30:02Z",228406
"2026-01-19T01:35:02Z",228615
"2026-01-19T01:40:03Z",228807
"2026-01-19T01:45:03Z",228992
"2026-01-19T01:50:02Z",229034
"2026-01-19T01:55:02Z",229174
"2026-01-19T02:00:02Z",229300
"2026-01-19T02:05:02Z",229192
"2026-01-19T02:10:03Z",228830
"2026-01-19T02:15:02Z",229065
"2026-01-19T02:20:02Z",229568
"2026-01-19T02:25:02Z",229757
"2026-01-19T02:30:03Z",229478
"2026-01-19T02:35:03Z",229159
"2026-01-19T02:40:02Z",228491
"2026-01-19T02:45:02Z",228516
"2026-01-19T02:50:02Z",228121
"2026-01-19T02:55:03Z",227416
"2026-01-19T03:00:03Z",226763
"2026-01-19T03:05:03Z",225306
"2026-01-19T03:10:02Z",224280
"2026-01-19T03:15:03Z",223882
"2026-01-19T03:20:04Z",223363
"2026-01-19T03:25:03Z",222533
"2026-01-19T03:30:02Z",221969
"2026-01-19T03:35:02Z",221691
"2026-01-19T03:40:02Z",220436
"2026-01-19T03:45:02Z",220218
"2026-01-19T03:50:02Z",219339
"2026-01-19T03:55:02Z",218471
"2026-01-19T04:00:03Z",217919
"2026-01-19T04:05:02Z",216747
"2026-01-19T04:10:03Z",215784
"2026-01-19T04:15:03Z",214868
"2026-01-19T04:20:03Z",213281
"2026-01-19T04:25:02Z",212383
"2026-01-19T04:30:02Z",211267
"2026-01-19T04:35:03Z",209675
"2026-01-19T04:40:03Z",208951
"2026-01-19T04:45:02Z",207638
"2026-01-19T04:50:02Z",206071
"2026-01-19T04:55:02Z",204929
"2026-01-19T05:00:03Z",203305
"2026-01-19T05:05:03Z",201655
"2026-01-19T05:10:02Z",200367
"2026-01-19T05:15:02Z",198937
"2026-01-19T05:20:02Z",197702
"2026-01-19T05:25:02Z",196307
"2026-01-19T05:30:03Z",195078
"2026-01-19T05:35:02Z",193880
"2026-01-19T05:40:02Z",192334
"2026-01-19T05:45:02Z",191135
"2026-01-19T05:50:03Z",190278
"2026-01-19T05:55:03Z",188848
"2026-01-19T06:00:03Z",187989
"2026-01-19T06:05:02Z",186839
"2026-01-19T06:10:03Z",185726
"2026-01-19T06:15:03Z",184649
"2026-01-19T06:20:03Z",183708
"2026-01-19T06:25:03Z",182523
"2026-01-19T06:30:03Z",181553
"2026-01-19T06:35:02Z",180716
"2026-01-19T06:40:03Z",179957
"2026-01-19T06:45:03Z",178606
"2026-01-19T06:50:03Z",178181
"2026-01-19T06:55:03Z",177323
"2026-01-19T07:00:02Z",176564
"2026-01-19T07:05:03Z",175672
"2026-01-19T07:10:03Z",175128
"2026-01-19T07:15:02Z",174170
"2026-01-19T07:20:02Z",173547
"2026-01-19T07:25:02Z",173090
"2026-01-19T07:30:03Z",172654
"2026-01-19T07:35:03Z",172051
"2026-01-19T07:40:02Z",171572
"2026-01-19T07:45:02Z",170797
"2026-01-19T07:50:02Z",170244
"2026-01-19T07:55:03Z",169795
"2026-01-19T08:00:04Z",169223
"2026-01-19T08:05:03Z",169071
"2026-01-19T08:10:03Z",168810
"2026-01-19T08:15:02Z",168460
"2026-01-19T08:20:02Z",167879
"2026-01-19T08:25:03Z",167599
